Index,source,zero_shot,maats,single_agent,reference
15,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,已经成活了成千上万的树木，农民通过一系列干预措施（从设备采购支持到培训）看到了作物产量的增加。,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到了作物产量的增加。,种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
16,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,我附近的UPS商店不让我在标签或箱子上写字。,我附近的UPS商店不允许我写标签或在箱子上书写。,我附近的 UPS 商店不允许我手写标签或写产品盒上。
17,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,他们不允许我告诉他们寄送地址和寄件人信息。,他们不允许我告诉他们它要寄去的地址和由谁寄送。,他们不允许我告诉他们商品的收货地址和承运人。
18,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,这是一场令人震惊的事件，象征性的1月6日反民主谎言和不满的“Festivus”，由美国媒体以自我毁灭式的方式举办。,这是一场公愤，就像一个象征性的 1 月 6 日反民主的谎言与不满的讽刺节日，由美国媒体自毁地举办。,这真是骇人听闻，就像 1 月 6 日反民主节日，一个象征性的谎言和表达不满的节日，而这是由美国媒体近乎自我毁灭地把持。
19,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,莱希特同意面对共和党观众发言！,Licht同意了一个共和党的听众！,利希特“赞同”所有共和党观众的观点！
20,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,这一切都是为了收视率而表现出的荒唐不负责任。,这一切都是为了追求收视率而表现出的妄想和不负责任。,为追求收视率而进行的不负责任的妄想。
21,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,我的地下室非常不密封，这基本上意味着会有很多啮齿动物在这里栖息。,我的地下室非常通风，这基本上意味着会有很多啮齿动物来避难。,我有一间通风非常好的地下室，这意味着可能会让许多老鼠在此避难。
22,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种日常，把所有捕鼠器上的花生酱清理掉，并用强力胶把开心果粘在上面。,昨晚我终于对这种情况感到厌烦，把所有捕鼠器上的花生酱清理掉，并用强力胶把一个开心果粘在上面。,昨晚我终于受够了这种日常，把所有陷阱上的花生酱清理掉，并用强力胶把开心果粘在上面。,昨晚我终于放弃了这种套路，把所有花生酱都清理了，还用强力胶粘了一颗开心果在上面。
23,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但成功率很低。,仅供参考，我几乎尝试了市场上所有「人道」的陷阱，但效果不佳。,仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但几乎没有成功。,（顺便说一句，我几乎试过了市场上所有的“人道”陷阱，但收效甚微。
24,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府以亲商业的名义包装自己。,我厌倦了保守党派和政府打着亲商的旗号包装自己。,我厌倦了保守党派和政府将自己与亲商业品牌联系在一起。,我厌倦了保守派政党和政府打着亲商的旗号包装自己。
25,"They aren't, at least not in Alberta.",他们不是，至少在阿尔伯塔省不是。,他们不是。至少在阿尔伯塔省是这样。,他们不是，至少在阿尔伯塔省不是。,他们不是亲商派，至少在阿尔伯塔省不是。
26,Sure they cut business taxes.,当然，他们削减了营业税。,他们确实削减了企业税。,当然，他们削减了营业税。,对，他们削减了营业税。
27,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",在2023年，我通过惨痛的教训发现，本地电视台的网站是互联网上最糟糕的体验。,在二〇二三年，我发现本地电视台的网站是互联网上最糟糕的体验。,在2023年，我通过艰难的方式发现，本地电视台的网站是互联网上最糟糕的体验。,我发现，在 2023 年，地方电视台网站带给我的绝对是互联网上最糟糕的体验。
28,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出层和广告、广告、广告。,弹出窗口、自动播放视频、动画、弹出窗口和广告泛滥。,弹出窗口、自动播放视频、动画、弹出层和广告、广告、广告。,弹出窗口、自动播放视频、动画、弹出窗口和一而再再而三的广告。
29,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间的竞争可能会非常激烈，我曾尝试在khou.com上观看Wendy发给我的视频。,即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如说khou.com之间可能会有一场激烈的竞争，我曾尝试在khou.com上观看Wendy发给我的视频。,即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间可能会有一场谁更糟糕的竞争，我曾尝试在khou.com上观看Wendy发给我的视频。,我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
30,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是把他送到格拉斯哥，”我试图解释，指着我的旅伴。,“我只是送他到格拉斯哥，”我试图解释，同时用手指了指我的旅伴。,“我只是把他送到格拉斯哥，”我试图解释，指着我的旅伴。,“我只是让他在格拉斯哥下车，”我试图解释，并向我的旅伴做了个手势。
31,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我确信的一件事是，我们需要准备好反击特朗普主义。,昨晚我确信，我们需要准备好反击特朗普主义。,昨晚让我确信的一件事是，我们需要准备好反击特朗普主义。,昨晚，我确信，我们有必要准备好反击特朗普主义。
32,Get some bumper stickers that are anti-Trump and plaster them all over.,弄一些反特朗普的保险杠贴纸到处贴上。,获取一些反特朗普的车贴并到处贴上。,弄一些反特朗普的保险杠贴纸到处贴上。,找一些反特朗普的车尾贴，贴满。
33,Yell back at those who would try to talk over us.,对那些试图打断我们的人大声回应。,对那些试图压过我们说话的人大声反击。,对那些试图盖过我们说话的人大声回应。,对那些试图凌驾于我们之上的人大声呼喊。
34,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧进公寓以避免见到他，但他还是设法追上我聊天。,所以我急忙进入我的公寓以躲避他，但他还是赶上来和我聊天。,所以我赶紧进公寓以避免见到他，但他还是设法追上我聊天。,所以我跑进我的公寓来避开他，但他仍然试图赶上我，与我聊天。
35,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处传播你的新冠病毒粘液风暴是不可接受的行为！！！,我重申一下。到处传播你的新冠病毒粘液是社会上不可接受的行为！,我再说一遍。到处传播你的新冠病毒粘液风暴是不可接受的行为！！！,我重复一遍。到处传播你的带有新冠肺炎病毒的痰是社会所无法接受的！！！
36,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太感兴趣。,阿贝把他的悲伤藏起来，笑得很轻松，而汤姆不怕哭泣，但对粗鲁的幽默不太喜欢。,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太好笑。,Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
37,Mio knows that sorrow is life's constant companion.,美绪知道悲伤是生活的常伴。,Mio知道悲伤总是伴随着生活。,Mio知道悲伤是生活的常伴。,Mio 知道悲伤伴随着一个人的一生。
38,#CNN needs to just close down.,CNN需要关闭。,CNN应该立即关闭。,CNN需要彻底关闭。,#CNN 需要做的就是关门大吉。
39,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的事件是一个令人愤慨的惨败。,昨天的#MangoMoron事件是一个令人震惊的惨败。,昨天与#MangoMoron的事件是一个令人愤慨的惨败。,昨天 #MangoMoron 的惨败真的令人愤慨。
40,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了一辆1958年普利茅斯Fury，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,书呆子学生阿尼·坎宁安迷上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
41,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的变化，阿尼也在改变，他的新信心在驾驶他那辆异国情调的美丽汽车时变成了傲慢。,随着汽车的变化，阿尼也随之改变，他的新信心在驾驶他那辆美丽的异国汽车时变成了傲慢。,随着汽车的变化，阿尼也在改变，他的新信心在驾驶他那辆异国情调的美丽汽车时变成了傲慢。,随着汽车的变化，Arnie 也在变化，在他异域佳人的车轮下，他新获得的自信转变成了傲慢。
42,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,关于我的邻居反对我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,关于我的邻居反对我这件事，最不可思议的部分之一就是想到他们需要付出多少努力才能表现出敌意。,关于我的邻居背叛我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
43,It hurts but you gotta do you.,虽然很痛，但你还是要做自己。,虽然很痛，但你还是得照顾好自己。,虽然很痛，但你还是要做自己。,会很痛苦，但必须这样做。
44,But at this point the open hostility and violence is getting worse.,但在这一点上，公开的敌意和暴力正在恶化。,但目前公开的敌意和暴力正在恶化。,但在这一点上，公开的敌意和暴力正在恶化。,而此时公开的敌意和暴力正在加速恶化。
45,That takes effort.,那需要努力。,这需要付出努力。,那需要努力。,那样做需要花力气。
46,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们持有我公寓的钥匙长达6年多。,他们有我公寓的钥匙已有6年以上。,他们 6 年多之前就有我公寓的钥匙了。
47,I am aware of your hatred of Organa.,我知道你对欧加纳的憎恨。,我知道你讨厌Organa。,我知道你对欧加纳的憎恨。,我了解你对 Organa 的仇恨。
48,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是父亲化的一个简单且经典的例子。,《最后生还者》是一个典型的“父亲角色化”例子。,《最后生还者》是一个关于“父亲角色化”的简单且经典的例子。,《最后生还者》是一个关于父亲化的经典示例。
49,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父化通常假设，当父母角色必须照顾或保护孩子或孩子替代物的情况下，解决方案是压倒性的力量，并利用这种力量强制形成一个非常具体的权力动态。,父亲化通常假设，当父母角色必须照顾或保护孩子或孩子替代物的情况下，解决方案是通过压倒性的力量来强制形成一个特定的权力结构。,父化通常假设，当父母角色必须照顾或保护孩子或孩子替代物的情况下，解决方案是压倒性的力量，并利用这种力量强制形成一个非常具体的权力动态。,父亲化一般意味着，在父母必须照顾或保护孩子或弱势人员时，这种方法就屡试不爽，他们使用这种方法强制将自己的这种特定权力凌驾于他人之上。
50,- We provide links to where you can book the fare.,我们提供可以预订票价的链接。,我们提供可以预订机票的链接。,我们提供链接，您可以通过这些链接预订票价。,
51,- More details are in the full blog post.,更多详情请参见完整的博客文章。,更多详情请查看完整的博客文章。,更多详情在完整的博客文章中。,
52,Over time dart became my go-to for quick UI.,随着时间的推移，Dart 成为我快速 UI 的首选。,随着时间的推移，Dart 成为我进行快速 UI 开发的首选。,随着时间的推移，Dart 成为我快速 UI 的首选。,dart 逐渐成为我快速与用户对接的首选。
53,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",#flutter 很好用，他们有 #mobx 可以轻松进行状态管理。,#flutter 很好用，#mobx 可以轻松进行商店管理。,#flutter 很好用，他们有 #mobx 可以轻松进行状态管理。,#flutter 是一个绝佳合作伙伴，他们拥有可以简化商店管理的 #mobx。
54,Echidna with amethyst and magenta spikes.,带有紫水晶和紫红色尖刺的针鼹。,带有紫晶和洋红色尖刺的针鼹。,带有紫水晶和紫红色尖刺的针鼹。,长有紫水晶色和洋红色尖刺的针鼹。
55,"Their hair is raspberry, short and curly.",他们的头发是覆盆子色的，短而卷曲。,他们的头发是玫红色的，短而卷曲。,他们的头发是覆盆子色的，短而卷曲。,它们的毛发是红莓色的，短小而卷曲。
56,Their most interesting feature is their good deeds.,他们最有趣的特点是他们的善行。,他们最有趣的特点是他们的慈善行为。,他们最有趣的特点是他们的善行。,它们最吸引人的是它们友好的行为。
57,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕——每个人……,尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶竭尽全力让他们显得不堪——每个人……,尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕，但每个人……,尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
58,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",需要将其翻译成普通话和/或福建话，我对这两种语言都一无所知。,需要将其翻译成普通话和/或闽南语，我对这两种语言完全不了解。,需要将其翻译成普通话和/或福建话，而我对这两种语言都一无所知。,我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
59,Been toying with this thought for a little while:,一直在琢磨这个想法。,我一直在玩味这个想法：,一直在琢磨这个想法有一段时间了。,考虑这个想法已经有一段时间了：
60,Because it happens in the mind and seems less tangible than physical health.,因为它发生在大脑中，看起来比身体健康更不具体。,因为它发生在心灵中，显得不如身体健康那样具体。,因为它发生在心灵中，看起来比身体健康更不具体。,因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
61,"My sex is non-binary, my gender is female.",我的性别是非二元的，我的性别认同是女性。,我的性别是非二元性别；我的性别是女性。,我的性别是非二元的，我的性别是女性。,我的性是非二元的，我的性别是女。
62,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,喜欢酸菜心情和其他世俗流行音乐、无线电工作室和各种各样的东西。,喜欢克劳特摇滚风格的音乐、超凡的流行音乐、实验音乐工作室和各种各样的东西。,喜欢德国风情和其他世俗流行音乐、无线电工作室以及各种各样的东西。,比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
63,Playing around a bit with Flutter.,玩转 Flutter。,随便玩玩 Flutter。,随便玩玩 Flutter。,试玩了下 Flutter。
64,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",老实说，我不愿意把我的业务建立在谷歌的技术上，另一方面，谷歌是少数真正有动力创造引人注目的跨平台体验的大公司之一，这一点显而易见。,说实话，我很不愿意把我的业务建立在谷歌的技术上；另一方面，谷歌是少数真正有动力创造引人注目的跨平台体验的大公司之一，这很明显。,老实说，我不愿意把我的业务建立在谷歌的技术上，另一方面，谷歌是少数真正有动力创造引人注目的跨平台体验的大公司之一，这一点显而易见。,说实话，我不喜欢把我的业务建立在谷歌的技术上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大玩家之一，这一点也很明显。
65,A few very small difficulties have come to light.,出现了一些很小的困难。,有一些非常小的困难浮现出来了。,出现了一些非常小的困难。,一些细微困难已经表现出来。
66,Nothing to set alarm bells ringing but nevertheless they are being addressed.,没有什么需要敲响警钟，但它们仍在被解决。,没有什么值得担忧，不过这些问题仍然在被处理。,没有什么需要敲响警钟，但它们仍在得到解决。,没有什么能敲响警钟，无论如何，正在解决这些问题。
67,A small update will be produced next week to correct them.,下周将进行一个小更新以纠正它们。,下周将发布一个小更新来纠正这些问题。,下周将进行一个小更新以纠正它们。,下周会发布一次小更新来纠正这些错误。
68,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而死机。,我不知道为什么我的大脑无法弄清楚，可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而陷入僵局。,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而卡住。,我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
69,"There's... no way that would work, probably!",那……这绝对行不通，可能吧！,那……这可能行不通吧！,那……这可能行不通吧！,那...那可能行不通！
70,I was a voracious reader in my youth.,我年轻时是个贪婪的读者。,我年轻时是个如饥似渴的读者。,我年轻时是个如饥似渴的读者。,我年轻时是个如饥似渴的读者。
71,"But if Spotify has a good quarter, they will.",但如果 Spotify 季度表现良好，他们会。,但如果 Spotify 季度表现良好，他们会取得成功。,但如果 Spotify 季度表现良好，他们会成功。,但是如果 Spotify 某个季度卖的很好，他们就会这么做。
72,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空和衰败的城市。,让他们再次复兴全国那些被掏空和衰败的城市。,让他们再次重建全国那些被掏空和衰败的城市。,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
73,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常提到一家大型公司的某位首席执行官。,这些标题和文章通常提到某家大型公司的首席执行官。,这些标题和文章通常提到一家大型公司的某一位首席执行官。,这些头条和文章通常会提及一家大公司的首席执行官。
74,It's all clickbait but it does worry me about the executives and managers who read these articles.,这都是标题党，但我确实担心那些阅读这些文章的高管和经理。,这些内容都是吸引点击的噱头，但我确实担心那些阅读这些文章的高管和经理。,这都是标题党，但我确实担心那些阅读这些文章的高管和经理。,这些都是引诱别人点击的诱饵，但我确实担心阅读这些文章的高管和经理们。
75,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间，让他们有更多时间陪伴家人。,它使人们能够避免耗时的通勤，这些通勤占用了他们的时间和家庭生活。,它使人们能够避免耗时的通勤，从而避免占用他们的时间，让他们有更多时间陪伴家人。,它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
76,"""This is a war between the pro-humans and anti-humans,"" he said.",“这是人类支持者和反人类者之间的战争，”他说。,“这是人类派和反人类派之间的战争，”他说。,“这是亲人类者和反人类者之间的战争，”他说。,“这是亲人类和反人类之间的一场战争，”他说。
77,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还争辩说，新民主党和进步人士为了环境的缘故想要减少人口。,他还争辩说，新民主党（NDP）和进步人士为了环保想要消减社会人口。,他还争辩说，新民主党和进步人士为了环境的缘故想要减少人口。,他还认为，NDP 和进步人士希望以保护环境为目的减少社会人口。
78,Whenever May would pop up I dreaded trying to celebrate my bday.,每当五月来临，我都害怕庆祝我的生日。,每到五月，我都害怕去庆祝我的生日。,每当五月来临，我都害怕庆祝我的生日。,每当遇到五月，我为庆祝生日感到恐惧。
79,Winter is 30 days away in this little part of the Great Southern World.,冬天距离这个大南方世界的小地方还有30天。,冬天距离南半球的这个小地方还有30天。,冬天距离这个大南方世界的小地方还有30天。,离冬天还有 30 天，在大南方的一个小地方。
80,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",雨正在下，虽然它没有结冰，但你不会在雨中跳舞！,雨正在下，尽管它没有结冰，但你不能在这样的雨中跳舞！,雨正在下，虽然它没有结冰，但你绝对不会在雨中跳舞！,雨还在下，当它还没结冰时，你不能在雨里跳舞！
81,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高效的方法可以让一个网页组件对被添加或移除文档做出响应吗？,你知道有什么高效的方法可以让一个 Web 组件对被添加到或从文档中移除做出响应吗？,你知道有什么高效的方法可以让一个网页组件对被添加到或从文档中移除做出响应吗？,你知道 web 组件响应从文档中添加/删除的有效方式吗？
82,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个独立的临时父级，在那里安装MO，并观察它变得独立（因此附加到其他地方）。,我们创建一个分离的临时父级，在那里安装MO，并观察它变得分离，随后附加到其他地方。,我们创建一个分离的临时父级，在那里安装MO，并观察它被分离（因此附加到其他地方）。,我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
83,He's just absolutely ripped from tearing around my office twice a day.,他每天在我的办公室里跑两次，身材变得非常健美。,他每天在我的办公室里跑两次，结果身材变得非常肌肉发达。,他每天在我的办公室里跑两次，结果身材变得非常结实。,他一天在我的办公室里乱翻两次，简直是疯了。
84,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他的重量，但感觉他已经超过一磅了。,我没有秤来称他的重量，但他给人的感觉已经远远超过一磅了。,我没有秤来称他的重量，但感觉他已经远远超过一磅了。,我没有体重秤给他称体重，但他感觉自己胖了一磅多。
85,It makes me so happy to see him thriving.,看到他兴旺发达让我很高兴。,看到他过得很好让我很高兴。,看到他茁壮成长让我很高兴。,看到他茁壮成长，我很开心。
86,1) Slight modifications to the Hel's Fighters map layout.,对地狱战士地图布局进行轻微修改。,对Hel's Fighters的地图布局稍作调整。,对“Hel's Fighters”地图布局进行轻微修改。,1）轻微修改了 Hel 的战斗机地图布局。
87,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、羽衣甘蓝、瑞士甜菜都已移植。,所有羽衣甘蓝、甘蓝和瑞士甜菜已经完成移植。,所有羽衣甘蓝、甘蓝、瑞士甜菜都已移植。,所有的羽衣甘蓝、甜菜都已完成移植。
88,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经开始长出来了，所以需要搭建支架。,吉尔平的春豌豆已经长出来了，所以需要搭建篱架。,吉尔平的春豌豆已经开始出现了，所以需要搭建支架。,吉尔平的春豌豆正在出芽，所以需要设置棚架。
89,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.",苹果地图是iOS的默认应用，但人们仍然会特意下载并安装谷歌地图到他们的iPhone上。,苹果地图是iOS的默认应用，但人们仍然会专门去下载和安装谷歌地图到他们的iPhone上。,苹果地图是iOS的默认应用，但人们仍然会特意下载并安装谷歌地图到他们的iPhone上。,苹果地图是苹果系统的默认地图软件，然而人们会专门下载谷歌地图并安装到苹果手机上。
